name,price,image,affiliate_link,category,description
"boAt Rockerz 450 Bluetooth Headphones","1499","https://m.media-amazon.com/images/I/61f0lQOsS7L._SL1500_.jpg","https://amzn.to/example1","Electronics","Wireless Bluetooth headphones with 15 hours playback, 40mm drivers, and foldable design. Perfect for music lovers."
"Prestige Iris 750W Mixer Grinder","2899","https://m.media-amazon.com/images/I/61vKFxUvxiL._SL1500_.jpg","https://amzn.to/example2","Kitchen","750W powerful motor with 3 stainless steel jars. Ideal for grinding, mixing and making chutneys."
"Philips 9W LED Bulb Pack of 4","399","https://m.media-amazon.com/images/I/71TXqYsrTYL._SL1500_.jpg","https://amzn.to/example3","Home","Energy saving 9W LED bulbs, 6500K cool daylight. Save up to 80% electricity vs CFL bulbs."
"AmazonBasics Microfiber Cleaning Cloths Pack of 24","699","https://m.media-amazon.com/images/I/81qIL0VKJXL._SL1500_.jpg","https://amzn.to/example4","Home","Ultra-soft microfiber cloths for cleaning surfaces, cars, and electronics without scratching."
"Milton Thermosteel Flip Lid Flask 1000ml","899","https://m.media-amazon.com/images/I/61rvQ-kxANL._SL1500_.jpg","https://amzn.to/example5","Kitchen","Keeps beverages hot for 24 hrs and cold for 24 hrs. 100% food grade stainless steel inner."
"Havells Instanio 3-Litre Instant Water Heater","3299","https://m.media-amazon.com/images/I/71wT3F4HNHL._SL1500_.jpg","https://amzn.to/example6","Home Appliances","3 litre capacity instant water heater with thermal cut-out protection. Rust-proof inner tank."
"Crompton Aura 48W Ceiling Fan","2199","https://m.media-amazon.com/images/I/61aNMj0-gAL._SL1500_.jpg","https://amzn.to/example7","Home Appliances","Energy efficient BLDC motor ceiling fan. 5-star rated, saves 65% energy vs regular fans."
"Zebronics Zeb-Sound Feast 700 Bluetooth Speaker","1299","https://m.media-amazon.com/images/I/61xNmLH-A8L._SL1500_.jpg","https://amzn.to/example8","Electronics","10W RMS wireless speaker with RGB LEDs, 2200mAh battery, and 6 hrs playtime."
"Pigeon Favourite Electric Kettle 1.5L","699","https://m.media-amazon.com/images/I/51lrWBUH9QL._SL1500_.jpg","https://amzn.to/example9","Kitchen","1500W stainless steel electric kettle. Auto shut-off and boil dry protection. Boils in 5 mins."
"Prestige Nakshatra Plus 3L Pressure Cooker","1199","https://m.media-amazon.com/images/I/51Vv8gMxTKL._SL1500_.jpg","https://amzn.to/example10","Kitchen","Aluminium pressure cooker with weight valve system. Inner lid design for safety."
